index,data,seed,e,kappa,cl_ml_ratio,ml_sat,ml_unsat,cl_sat,cl_unsat,lambda_minus,lambda_plus,ARI,p1_slvr_status,p1_clause_gen,p1_solver,p1_total,p2_slvr_status,p2_clause_gen,p2_solver,p2_total,total_time,final_slvr_status,total_slvr_time
102,iris,1732,0.1,0.25,3,14,0,23,0,755,24,0.788044357,OPTIMUM,0.05757,0.06004,0.1318,OPTIMUM,0.06635,0.22294,0.82258,0.95438,OPTIMUM,0.28298
103,iris,1732,0.1,0.25,5,14,0,23,0,755,24,0.788044357,OPTIMUM,0.06373,0.07106,0.14793,OPTIMUM,0.06076,0.33266,0.8956,1.04353,OPTIMUM,0.40372
104,iris,1732,0.1,0.5,1,29,0,46,0,755,23,0.941012256,OPTIMUM,0.05627,0.06609,0.13598,OPTIMUM,0.0621,0.20956,0.54525,0.68123,OPTIMUM,0.27565
105,iris,1732,0.1,0.5,2,29,0,46,0,755,23,0.941012256,OPTIMUM,0.05457,0.07402,0.14712,OPTIMUM,0.06235,0.22317,0.5601,0.70722,OPTIMUM,0.29719
106,iris,1732,0.1,0.5,3,29,0,46,0,755,23,0.941012256,OPTIMUM,0.05897,0.07292,0.1457,OPTIMUM,0.06359,0.14531,0.48789,0.63359,OPTIMUM,0.21823
107,iris,1732,0.1,0.5,5,29,0,46,0,755,23,0.941012256,OPTIMUM,0.05615,0.06989,0.13927,OPTIMUM,0.0647,0.16258,0.50223,0.6415,OPTIMUM,0.23247
108,iris,1732,0.1,0.7,1,37,0,68,0,755,23,0.8857921,OPTIMUM,0.06097,0.11016,0.18377,OPTIMUM,0.06531,0.23911,0.55889,0.74266,OPTIMUM,0.34927
109,iris,1732,0.1,0.7,2,37,0,68,0,755,23,0.8857921,OPTIMUM,0.05563,0.10918,0.17796,OPTIMUM,0.06159,0.22362,0.53591,0.71387,OPTIMUM,0.3328
110,iris,1732,0.1,0.7,3,37,0,68,0,755,23,0.8857921,OPTIMUM,0.0985,0.1213,0.24304,OPTIMUM,0.06528,0.1891,0.52099,0.76403,OPTIMUM,0.3104
111,iris,1732,0.1,0.7,5,37,0,68,0,755,23,0.8857921,OPTIMUM,0.05824,0.11994,0.19188,OPTIMUM,0.06382,0.1905,0.51491,0.70679,OPTIMUM,0.31044
112,iris,1732,0.1,1,1,54,0,96,0,755,15,0.865605244,OPTIMUM,0.05803,0.19458,0.26732,OPTIMUM,0.06201,0.2727,0.56125,0.82857,OPTIMUM,0.46728
113,iris,1732,0.1,1,2,54,0,96,0,755,15,0.865605244,OPTIMUM,0.0571,0.20381,0.27491,OPTIMUM,0.06175,0.26101,0.55542,0.83033,OPTIMUM,0.46482
114,iris,1732,0.1,1,3,54,0,96,0,755,15,0.865605244,OPTIMUM,0.0625,0.20431,0.28077,OPTIMUM,0.06443,0.22429,0.52729,0.80806,OPTIMUM,0.4286
115,iris,1732,0.1,1,5,54,0,96,0,755,15,0.865605244,OPTIMUM,0.05988,0.19361,0.26661,OPTIMUM,0.06382,0.22538,0.52544,0.79205,OPTIMUM,0.41899
116,iris,1732,0.1,1.5,1,77,0,148,0,854,23,0.960277692,OPTIMUM,0.05659,0.08067,0.15696,OPTIMUM,0.06076,0.41702,0.67606,0.83302,OPTIMUM,0.49769
117,iris,1732,0.1,1.5,2,77,0,148,0,854,23,0.960277692,OPTIMUM,0.05695,0.08053,0.16058,OPTIMUM,0.06084,0.41729,0.68241,0.84299,OPTIMUM,0.49782
118,iris,1732,0.1,1.5,3,77,0,148,0,854,23,0.960277692,OPTIMUM,0.05971,0.07628,0.1544,OPTIMUM,0.07258,0.34681,0.63082,0.78522,OPTIMUM,0.42309
119,iris,1732,0.1,1.5,5,77,0,148,0,854,23,0.960277692,OPTIMUM,0.05851,0.08092,0.15287,OPTIMUM,0.06468,0.36544,0.63599,0.78886,OPTIMUM,0.44636
120,iris,1732,0.1,1.75,1,88,0,174,0,854,23,0.979932005,OPTIMUM,0.06076,0.08865,0.16518,OPTIMUM,0.06092,0.2716,0.51315,0.67833,OPTIMUM,0.36025
