data,seed,e,kappa,cl_ml_ratio,pareto_index,ml_sat,ml_unsat,cl_sat,cl_unsat,lm_lambda_minus,lm_lambda_plus,lp_lambda_minus,lp_lambda_plus,ARI,p1_slvr_status,p1_clause_gen,p1_solver,p1_total,p2_lm_slvr_status,p2_lm_clause_gen,p2_lm_solver,p2_lm_total,p2_lp_slvr_status,p2_lp_clause_gen,p2_lp_solver,p2_lp_total,total_slvr_time
libras,1732,0.1,0.5,1,2,14.0,0.0,166.0,0.0,0,0,,,,OPTIMUM,7.85774,65.61993,74.70963,UNSATISFIABLE,7.67536,18.34921,27.5921,,,,,93.05884
libras,1732,0.1,0.7,1,2,18.0,0.0,233.0,0.0,0,0,,,,OPTIMUM,8.12523,64.40881,73.78224,UNSATISFIABLE,7.84138,18.45529,27.8434,,,,,92.23753
libras,1732,0.1,1.0,1,1,23.0,0.0,337.0,0.0,3663,107,3663.0,130.0,0.179591038844725,OPTIMUM,7.94465,83.73297,92.93854,OPTIMUM,7.8521,2616.42176,2625.89818,SATISFIABLE,7.65642,5413.8539,5423.13596,8123.2142
libras,1732,0.1,1.5,1,0,33.0,1.0,506.0,0.0,0,0,,,,SATISFIABLE,7.87466,900.04187,909.18214,UNKNOWN,8.10735,5414.0047,5423.72444,,,,,6323.18684
libras,1732,0.1,1.75,1,0,38.0,0.0,592.0,0.0,0,0,,,,OPTIMUM,7.95497,262.1735,271.45316,UNKNOWN,7.97163,5413.3642,5422.96833,,,,,5684.81736
libras,1732,0.1,2.0,1,0,38.0,4.0,677.0,1.0,0,0,,,,SATISFIABLE,7.93606,900.02721,909.2221,UNKNOWN,7.72001,5413.55967,5422.90735,,,,,6322.78177
libras,2352,0.1,0.0,1,0,,,,,2186,8,,,,,,,0.0,SATISFIABLE,7.65933,5414.06604,5483.50362,,,,,5414.06604
libras,2352,0.1,0.1,1,3,2.0,0.0,34.0,0.0,0,0,,,,OPTIMUM,7.78032,26.59216,35.58144,UNSATISFIABLE,7.83571,23.75775,34.45211,,,,,59.33919
libras,2352,0.1,0.25,1,2,2.0,0.0,88.0,0.0,0,0,,,,OPTIMUM,7.90417,26.68665,35.81779,UNSATISFIABLE,7.62264,19.56066,30.05566,,,,,55.37845
libras,2352,0.1,0.5,1,1,7.0,0.0,173.0,0.0,0,0,,,,OPTIMUM,7.84222,65.24249,74.34409,UNSATISFIABLE,7.6983,18.87049,28.29341,,,,,93.21458
libras,2352,0.1,0.7,1,1,14.0,0.0,237.0,0.0,0,0,,,,OPTIMUM,7.94751,65.2996,74.48343,UNSATISFIABLE,7.7893,22.76665,32.29731,,,,,97.25008
